activity_intensity_score,contribution_consistency,repo_creation_rate,commit_freq_per_year,recent_activity_ratio,code_change_rate,development_velocity,repo_count_all,recent_active_repo_coverage,multitasking_breadth,multitasking_share_of_portfolio,multitasking_index,multitasking_score,tech_stack_breadth,language_specialization,language_balance,repo_language_diversity,avg_languages_per_repo_x,avg_repo_size,community_engagement_score,collaboration_ratio,fork_contribution_rate,mentorship_score,total_forked_repos_owned,total_stars_received,total_forks_received,total_watchers,network_influence,social_coding_index,repo_active_score,showcase_score,maintenance_rate,maintenance_score,owner_login,avg_stars_per_repo,max_stars_repo,stars_std_dev,avg_forks_per_repo,max_forks_repo,avg_watchers_per_repo,avg_languages_per_repo_y,public_repo_ratio,avg_languages_per_repo,project_complexity,code_review_participation,code_review_index,reputation_score,impact_factor,influence_growth_rate,viral_repo_score,lead_org,lead_mentorship,lead_review,lead_support,leadership_score,profile_completeness,maintainer_score,team_player_score,generalist_score,work_consistency,learning_velocity,innovation_index
0,1.0,0.328769591064673,0.0,0.9,40.339285714285715,376.5,5.0,5.0,1.0,0.8333333333333334,3.0,3.0,5,0.5,0.625,3.0,3.2,7026826.6,8095,0.0,3.0,0.0,0.0,316.0,137.0,38.0,6.827087375914682,0.9999999997884534,0.0,0.0,0,1.0,s1monw,63.2,213.0,94.8772891686941,27.4,127.0,7.6,3.2,1.0,0.0,0.039819547240050435,0.0,0.0,4.4035581501454,98.33333333333333,18.345343181408754,3.317757009345794,0.3333333333333333,0.0,0.0,0.0,0.11666666666666665,1.0,0.3125,0.31666666666666665,0.41666666663194446,0.39980442689117435,0.37499999996875,0.4086508172016231
1067,0.43815161004184144,0.358781127129751,91.84796854521626,0.9997608799617408,78.7,983.75,3.0,0.2727272727272727,0.6,0.75,0.43636363636363634,0.43636363636363634,4,1.0,0.0,1.0,2.3333333333333335,5763552.0,3188,0.26397919375812745,0.5,11.480996068152033,0.0,0.0,1.0,3.0,3.6506582412937387,0.9999999997884534,2.5,0.0,0,1.0,jrodewig,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,2.3333333333333335,1.0,0.0,0.31525532345071927,0.4824120603015075,0.741206030015348,1.0219611298619211,0.5,2.1526867627785062,0.0,0.0,0.9999999997319662,0.9999999997291884,0.0,0.5499999998520259,1.0,0.5,0.17919375807464238,0.33333333330555553,1.0,0.33325362662614244,0.0
861,0.5848752423198871,0.0888293988805062,17.677050377220734,0.9990224828934506,26.7,267.0,1.0,0.25,0.2,0.5,0.225,0.225,1,1.0,0.0,1.0,1.0,16833.0,3745,2.03,4.5,22.78474081284984,0.0,4.0,5.0,1.0,4.66814498514948,0.9999999997884534,1.5,0.5,0,1.0,dnhatn,4.0,4.0,0.0,5.0,5.0,1.0,1.0,1.0,0.0,0.21982483178145557,0.6580976863753213,0.8290488430522549,2.008729357009029,7.0,4.263811146264298,0.8,0.6666666666666666,0.9999999997319662,0.9999999997291884,0.0,0.7833333331853591,1.0,0.09090909090909091,0.8833333330333333,0.08333333332638888,1.0,0.08325187356751655,0.04597680901370785
365,0.6270313933796055,0.8802756244616711,10.31180017226529,0.9977324263038548,15.277777777777777,183.33333333333334,10.0,0.45454545454545453,1.0,0.45454545454545453,0.7272727272727273,0.7272727272727273,13,0.5714285714285714,0.48979591836734704,2.0,3.1,3800778.6,4065,0.6787878787878788,2.8666666666666667,5.627476313522825,0.0,360.0,170.0,60.0,6.669498089857879,0.9999999997884534,0.6666666666666666,0.3333333333333333,0,1.0,rmuir,36.0,213.0,76.64057527039954,17.0,127.0,6.0,3.1,1.0,0.0,0.1577026045923895,1.0853658536585367,0.9999999998645942,4.41715573662854,46.666666666666664,11.066322136089578,5.756756756756757,1.0,0.9999999997319662,0.9999999997291884,0.0,0.8999999998520258,1.0,0.47619047619047616,0.753636363500606,0.9999999999166667,0.319600640481998,0.9977324262207105,0.4361743080896295
18,0.5867928915317513,0.5274566473988439,0.659320809248555,0.9473684210526315,62.39,1039.8333333333333,8.0,1.6666666666666667,1.0,0.5555555555555556,1.3333333333333335,1.3333333333333335,10,0.375,0.71875,4.0,3.125,376374.375,3903,0.6363636363636364,1.8888888888888888,0.06593208092485549,0.0,4490.0,352.0,91.0,8.03268487596762,0.9999999997884534,0.2222222222222222,0.0,0,1.0,bleskes,561.25,2301.0,873.4299792035014,44.0,151.0,11.375,3.125,1.0,0.0,0.10707203634237772,0.2,0.10892758627129567,5.20732859403707,577.1111111111111,10.087608381502891,4.092485549132948,0.0,0.017672026718832713,0.01785517254259133,0.0,0.009756243860109716,1.0,0.42105263157894735,0.3909090907818182,0.8333333332638889,0.39120222498135143,0.7894736841447368,0.8944271909528312
1914,0.5920939423445268,0.0,55.3692614770459,0.9994791666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2948,1.8198874296435272,68.0,42.87995437696036,0.0,0.0,0.0,0.0,4.04305126783455,0.9999999997884534,10.0,0.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.2,0.4650112866817156,0.732505643205452,1.0101887489959422,0.0,2.9141716566866265,0.0,0.0,0.9999999997319662,0.9999999997291884,0.0,0.5499999998520259,1.0,0.0,0.6499999997,0.0,1.0,0.0,0.0
10,0.627052926551815,3.9047702560505084,0.19203788144510697,0.9833333333333333,77.4375,619.5,10.0,1.6666666666666667,1.0,0.45454545454545453,1.3333333333333335,1.3333333333333335,11,0.6,0.58,4.0,2.0,39432.8,2222,1.75,0.9354838709677419,0.25605050859347595,0.0,888.0,239.0,76.0,7.388637026375056,0.9999999997884534,0.03225806451612903,1.0,0,1.0,spinscale,88.8,272.0,93.62549510327479,23.9,68.0,7.6,2.0,1.0,0.0,0.06484228251037878,0.0,0.0,4.936537107643818,22.032258064516128,26.05313924938618,3.0289532293986636,0.0,0.06863019285545977,0.0,0.0,0.024020567499410915,1.0,0.47619047619047616,0.6370967738935484,0.9166666665902777,0.4867740660385312,0.9013888888137731,0.6850390256711063
0,1.0,0.2226062207765806,0.0,0.0,356.75,713.5,3.0,3.0,0.6,0.75,1.8,1.8,1,1.0,0.0,1.0,1.0,15039.333333333334,907,0.0,2.0,0.0,0.0,1.0,1.0,3.0,4.574710978503383,0.8935576288547508,0.0,0.0,0,1.0,jaymode,0.3333333333333333,1.0,0.5773502691896258,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.17964177878277285,0.0,0.0,1.50793389355234,0.75,3.4874974588330963,0.75,0.3333333333333333,0.0,0.0,0.0,0.11666666666666665,1.0,0.25,0.31666666666666665,0.08333333332638888,0.36602540448059107,0.0,0.022988404506853924
0,1.0,0.0,0.0,0.987012987012987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2230,0.0,0.0,0.030190239867659226,0.0,0.0,0.0,0.0,4.812184355372417,0.9999999997884534,0.0,0.0,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.2381403155135275,0.0,3.6832092638544256,0.0,0.0,0.008092004955786429,0.0,0.0,0.00283220173452525,1.0,0.0,0.0,0.0,1.0,0.0,0.0
338,0.5882473252966831,0.1831409934771701,7.417210235825389,0.9973544973544973,155.91176470588232,1767.0,2.0,0.4,0.4,0.6666666666666666,0.4,0.4,4,1.0,0.0,1.0,2.0,3232056.5,2910,1.8658536585365855,4.333333333333333,9.523331660812845,0.0,17.0,5.0,5.0,5.093750200806762,0.9999999997884534,1.3333333333333333,0.5,0,1.0,jimczi,8.5,17.0,12.020815280171307,2.5,4.0,2.5,2.0,1.0,0.0,0.2601450075491156,0.697986577181208,0.8489932884551983,2.5166829491757117,9.0,6.684646261916709,1.7894736842105263,0.0,0.9999999997319662,0.9999999997291884,0.0,0.5499999998520259,1.0,0.15384615384615385,0.6499999997,0.33333333330555553,0.41421356240164103,0.33245149909046146,0.0947836199461838
