Model,Micro F1,Macro F1,Weighted F1,Hamming Loss,Jaccard Micro,Jaccard Macro,Exact Match
Logistic Regression OvR,0.9243734752716789,0.9251023122778941,0.9245776424140445,0.059740714786264894,0.859381443298969,0.8618664765416755,0.7771548703573932
SVM RBF OvR,0.9049912434325744,0.904976163360772,0.9058989506771407,0.07603363700070077,0.826469412235106,0.8284599737873162,0.7274001401541695
