Model,RMSE,R² Score,NDCG@20,Spearman ρ
XGBoost Regressor,0.01074227015913702,0.9979959148514382,0.9993772134231335,0.9988923500739099
Neural Network (MLP),0.06766057706425978,0.9204948202130709,0.9541644224636706,0.9553979879273504
