Model,RMSE,MAE,R²,Avg Per-Skill RMSE,Ranking Correlation
Ridge Regression,0.15632231197000168,0.052007687791850374,0.018257694973803997,0.12632009078612386,-0.4566876066453967
XGBoost Regressor,0.14888775499828796,0.04888836835458735,0.003079821588471532,0.12334447660930517,-0.23869845261378173
